,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula,Left-Amygdala,Right-Amygdala,Left-Hippocampus,Right-Hippocampus
ctx-lh-bankssts,0.0,87.32124598286491,75.1398695766768,68.51277253184256,62.545983084447556,39.56008088970496,37.8549864614954,31.38470965295043,58.66003750424986,45.09988913511872,79.21575979563663,60.71243694664216,103.96634070698073,26.324893162176366,46.57252408878007,79.46068210127572,67.27555276621665,94.50925880568528,79.25276020429824,62.96824596572466,56.293871780150276,69.2098258919931,63.90618123468183,64.1482657598785,99.02524930541705,100.18482919085105,99.86991538997117,68.18357573492314,38.13135192987524,34.36568055487916,119.91246807567593,77.33692520394123,22.494443758403985,59.95831885568507,106.02358228243375,90.49861877399013,120.86769626331099,71.03520254071216,94.32921074619463,92.52567211320326,109.1833320612629,121.99180300331658,60.876925020897694,103.86529738079028,114.78675881825394,66.19667665374146,110.51696702316798,128.00781226159597,80.52949770115296,84.2436941260294,128.03905654135383,135.66502865514016,133.96268137059664,81.12336284942828,120.37856952132302,71.11258679024411,119.31051923447488,73.71566997592845,101.61200716450787,134.08206442324789,116.49892703368559,93.19871243745806,127.23600119463045,124.91997438360288,127.33027919548437,121.33836985883731,102.9465880930495,114.27160627207444,57.043842787806646,90.45440840556087,40.718546143004666,90.29950165975447
ctx-lh-caudalanteriorcingulate,87.32124598286491,0.0,47.10626285325551,103.24243313676794,65.52098900352466,89.20762299265685,101.59724405711013,91.24691775616314,69.03622237637282,118.41030360572512,52.7116362864975,98.08669634563088,47.05316142407437,91.9565114605812,69.87131027825369,60.22457969965419,55.74047003748713,63.97655820689325,55.46169849544819,113.03096920755833,73.98648525237566,40.53393639902249,62.26556030423239,82.52272414311103,27.65863337187866,46.34652090502587,34.336569426778794,93.34880824091971,72.72551134230683,85.74380444090407,59.21148537234985,66.75327707311455,66.85057965343307,51.710733895391584,84.34453153583817,5.0,48.27007354458868,102.43534546239398,68.0808343074613,93.11283477587824,101.23240587875011,97.92343948207701,69.0724257573165,118.98319209031165,55.47071299343465,94.51454914456292,47.50789408087881,93.52539762011173,70.14271166700073,57.51521537819362,60.14149981501958,67.54257916307313,61.91122676865643,109.43491216243562,74.73954776421918,38.44476557348217,63.48228099241551,79.75587752636166,29.223278392404914,51.35172830587107,34.19064199455752,93.70699013414101,81.44937077718895,88.32893070789434,59.74947698515862,75.8023746329889,67.68308503607086,56.52433104425032,59.87486951969081,61.326992425847855,65.24568951279464,67.0
ctx-lh-caudalmiddlefrontal,75.1398695766768,47.10626285325551,0.0,112.30316113093166,85.14693182963201,97.30878685915265,89.29165694509202,86.72369918309528,82.05485969764375,114.25410277097274,60.16374822100099,110.69778678907723,77.18160402582988,78.86063656856949,84.43340571124678,64.31174076325411,30.72458299147443,66.19667665374146,46.50806381693394,119.9458211026962,45.880278987817846,57.41080037762929,32.71085446759225,85.0,62.369864518050704,46.76537180435969,31.496031496047245,84.19619943916709,56.19608527290847,61.27805479941412,82.87943049997388,83.25262758616091,55.37147279962851,52.392747589718944,119.26860441876563,51.710733895391584,88.14193099768123,113.28724553099524,104.51794104363135,123.32477447779907,127.13378779852349,137.7171013345837,82.89752710425083,141.9506956657839,95.46727187890099,110.80613701415639,83.15046602394962,135.49907748763457,101.99509792141973,66.89544080129826,106.08487168300671,113.14150432091665,108.8577052853862,125.58264211267415,104.86658190291128,57.905094767213704,96.21330469326995,91.40021881811882,67.56478372643548,95.38343671728336,63.45076831686122,104.41264291262816,125.1119498689074,123.03251602726817,92.26592003551474,117.42657280190033,105.70714261581381,102.39140588936164,76.01315675591957,98.68130522039117,74.14849964766651,103.52777405121778
ctx-lh-cuneus,68.51277253184256,103.24243313676794,112.30316113093166,0.0,88.3742043811428,51.07837115648854,48.79549159502341,86.37708029332781,34.36568055487916,46.36809247747852,122.30370640336294,22.93468988235943,130.54118124178285,91.58056562393574,66.61080993352356,68.43975452907469,118.13551540497888,140.84743519141554,127.98046725965646,21.42428528562855,83.55237878121723,66.48308055437865,90.93954035511726,35.62302626111375,121.81132952233959,139.00719405843714,125.29964086141668,53.150729063673246,99.54898291795854,74.31688906298487,150.65523555456014,114.27598172844546,76.8505042273634,106.30616162763097,66.30987860040162,103.31505214633539,108.07867504739313,4.242640687119285,96.29122493768578,59.80802621722272,52.028838157314254,93.02687783646186,34.583232931581165,43.79497688091638,128.5379321445619,25.41653005427767,131.4610208388783,97.05668446840743,67.96322535018479,70.39176088151227,113.05750749065716,135.9154148726332,127.00393694685216,21.42428528562855,86.49277426467485,68.18357573492314,93.74966666607408,33.61547262794322,121.16517651536682,134.40982106974178,121.79490958164057,46.195237849804386,99.82484660644363,81.83520025025906,150.01666574084362,124.16521251944927,73.79701890998037,106.99532700076205,88.48728722251576,88.9831444712986,75.69676347110224,76.4591394144611
ctx-lh-entorhinal,62.545983084447556,65.52098900352466,85.14693182963201,88.3742043811428,0.0,46.57252408878007,90.33825324855468,45.92385001282014,67.7126280689208,86.93675862372602,48.3919063480661,70.15696686716153,57.3149195236284,57.62811813689564,22.9128784747792,93.66963221877195,70.09992867328754,66.36264009214823,64.8459713474939,85.32877591996736,94.76813810558906,69.12307863514182,92.36882591004391,89.86100377805714,61.82232606429493,80.05623023850174,92.57429448826494,106.061303028013,54.7905101272109,86.72369918309528,77.22046360907191,27.586228448267445,51.980765673468106,41.02438299353203,81.27115109311545,66.76825593049439,96.13012014972206,87.78382538941898,37.603191353926334,65.30696746902278,103.4842983258813,79.8373346248483,68.97825744392213,99.498743710662,60.530983801686226,68.60029154456998,61.72519744804386,87.4414089547967,42.43819034784589,93.40770846134703,89.83317872590283,83.55237878121723,88.75809822207775,87.64131445842195,109.00917392586736,68.4178339323893,104.20652570736632,87.39565206576354,61.587336360651285,94.89994731294638,98.40731680114035,108.89444430272832,87.6184911990614,106.45656391223605,79.73079706111058,62.056425936400814,74.47147104764348,67.03730304837748,9.695359714832659,38.7556447501522,22.045407685048602,48.394214530251446
ctx-lh-fusiform,39.56008088970496,89.20762299265685,97.30878685915265,51.07837115648854,46.57252408878007,0.0,54.71745608121781,39.64845520319802,47.391982444291145,41.701318923986086,85.6413253050185,32.046840717924134,100.0399920031984,50.695167422546305,24.819347291981714,84.85870609430714,89.56003573022959,103.98557592281729,94.64671151181112,41.593268686170845,83.28265125462805,68.85491994040804,88.25531145489205,63.984373092185564,98.06630410084801,112.41885962773328,113.26517558367179,79.41032678436729,62.8887907341205,67.00746227100382,120.00833304400157,71.596089278675,47.02127178203499,69.8426803609369,78.12809993849844,90.5704145954958,112.22299229658778,51.79768334587948,69.14477565225012,57.113921245174545,85.89528508596965,88.74119674649424,49.24428900898052,72.72551134230683,102.10288928331069,35.93048844644336,103.78342834961659,97.73944955850733,50.61620293937506,86.91375035056306,111.40466776576285,119.0546093185812,117.9279441014724,53.34791467339656,108.48963084092415,69.8426803609369,109.38921336219582,64.95382975621992,98.2242332624694,125.13592609638529,118.76447280226525,86.18004409374598,101.34100848126586,104.14413089560064,122.56426885516024,99.1463564635635,79.56758133813042,94.57801012920498,47.4236228055175,66.03786792439622,33.391615714128,62.44197306299666
ctx-lh-inferiorparietal,37.8549864614954,101.59724405711013,89.29165694509202,48.79549159502341,90.33825324855468,54.71745608121781,0.0,67.45368781616021,51.34199061197374,34.713109915419565,110.10184648769521,54.48853090330111,129.88456413292536,63.702433234531945,69.58448102845921,68.27151675479314,93.45052166788584,125.97221915962265,108.71062505569546,48.68264577855234,51.710733895391584,69.77822009767804,64.47480127925948,42.30839160261236,120.54459755625716,124.47489706764172,112.69871339105873,39.64845520319802,72.44998274671983,32.77193921634788,146.69014963520897,109.64488132147346,51.93264869039514,91.07140056021979,104.0096149401583,103.90861369491944,123.69316876852982,52.583267300539625,113.79367293483412,96.04165762834376,95.06839643120105,128.64291663360248,53.03772242470448,91.91844211038392,137.32079230764728,61.065538563088104,134.45073447177595,132.6536844569347,92.05433178292046,74.3370701601832,135.04443713089407,152.48606493709516,145.8800877433243,67.98529252713413,111.52578177264664,72.49827584156743,114.39405578962571,56.43580423808985,122.4499897917513,146.37281168304446,123.5677951571525,70.03570517957252,131.84839779079607,117.11532777565881,151.74979406905302,141.76741515595182,104.35037134576953,127.251719045363,86.0406880493177,107.4197374787334,69.57729514719583,101.45442326483355
ctx-lh-inferiortemporal,31.38470965295043,91.24691775616314,86.72369918309528,86.37708029332781,45.92385001282014,39.64845520319802,67.45368781616021,0.0,75.37904218017101,61.7980582219215,66.89332253670766,70.84490101623405,92.62828941527529,16.55294535724685,38.52272056851645,101.09896141899777,68.4178339323893,81.6394512475433,72.48448109768049,76.90253571892151,82.4378553820998,84.0535543567314,86.21484790916237,88.53247991556545,94.11163583744573,96.90201236300514,107.70793842609746,97.10818709048172,34.68429039204925,63.76519426771944,108.45275469069469,56.83308895353129,34.91418050019218,50.73460357586329,110.61645447219867,94.29209935090002,128.0859086707043,87.92610533851708,82.32253640407346,91.35644476444998,121.8605760695394,117.04272724095249,77.4919350642375,112.23635774560755,103.36827366266692,74.95998932764064,100.09495491781792,125.65428763078481,76.38062581571324,104.27847332982968,129.06974858579372,127.7888884058391,130.88544609695916,92.46621004453465,133.90294993016397,85.00588214941364,131.232617896619,93.9095309327014,96.35351576356723,133.24788928909905,124.37443467208203,115.35597080342222,126.72016414130783,134.6773923121472,116.45600027478189,107.95369377654477,107.12142642814275,109.82258419833327,42.24926034855522,81.93289937503738,30.512292604784715,86.18004409374598
ctx-lh-isthmuscingulate,58.66003750424986,69.03622237637282,82.05485969764375,34.36568055487916,67.7126280689208,47.391982444291145,51.34199061197374,75.37904218017101,0.0,62.13694553162394,93.78708119991794,36.124783736376884,99.9699954986495,79.33473388119481,49.61854492022111,42.1070065428546,89.9166280506559,111.8436408563312,98.8635423197045,47.81213235152768,63.03967004989794,32.69556544854363,65.58200972827838,25.019992006393608,89.05616205518852,106.55515003977987,91.76600677810929,47.07440918375928,78.74642849044012,61.04096984812741,119.17214439624723,90.52071586106685,56.43580423808985,79.25906888173743,54.75399528801528,69.14477565225012,78.12809993849844,33.77869150810907,75.29276193632427,55.749439459065414,52.706735812417755,82.68615361715648,2.23606797749979,60.802960454241045,99.76472322419383,33.95585369269929,100.78194282707592,83.64807230295268,50.65570056765576,43.01162633521314,86.00581375697809,108.11105401391663,98.87871358386495,44.654227123532216,65.49809157525127,34.23448553724738,68.30812543175226,20.024984394500787,88.66791979064357,102.96115772464877,88.30062287436029,42.05948168962618,81.21576201698781,67.82329983125268,118.69288099966232,100.86624807139403,53.301031884945715,80.60397012554654,65.81033353509159,66.47555941848101,55.794264938253285,56.824290580701486
ctx-lh-lateraloccipital,45.09988913511872,118.41030360572512,114.25410277097274,46.36809247747852,86.93675862372602,41.701318923986086,34.713109915419565,61.7980582219215,62.13694553162394,0.0,118.64567670168181,42.42640687119285,137.5027272456805,64.69157595854347,65.07687761409578,93.81897462667133,111.20251795710384,135.7276685130928,122.21702009131134,31.12876483254676,83.77947242612596,88.84818512496471,94.81561052906846,62.96824596572466,132.5971342073425,141.19844191774922,136.0514608521349,69.2314957226839,82.48636250920512,62.0403094769844,156.29779269074788,109.49429208867465,64.77653896280658,100.26464980241042,103.435970532499,120.2331069215131,139.14381049834736,49.759421218498915,109.88175462741756,86.02906485601247,97.28823155962904,121.39192724394815,63.89053137985315,81.00617260431454,141.69685952765502,51.30302135352264,141.84498581197715,129.37542270462347,87.50428560933459,98.2496819333274,143.7358688706476,157.44522857171634,153.44054223053305,57.175169435691224,126.3210196285638,90.95603333479313,130.3572015655445,70.71067811865476,133.57769274845256,158.80806024884254,144.31216164966833,86.30179604156567,133.15029102484155,124.18131904598211,160.3153143027827,139.94641831786907,108.11105401391663,131.32402674301454,85.84870412533901,105.61249926026748,69.33974329343886,98.97474425326898
