Left-Cerebellum-Cortex,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Left-VentralDC,Right-Cerebellum-Cortex,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
0,5.425,0,0.3875,0.0625,0.125,0,0,194.26,1193,0.1875,0.05,0.075,0.0125,0.05,0,0,89.625,0,0,0,0.125,0.425,10.925,0.2,0.9625,0.0125,1.1875,0.0125,6.8375,0.0125,0.0375,0.4,0,0,0,0,0.1875,0.0125,0,0,0.225,0,0,0,0.3375,0.0375,0,0,0.0125,0,0.0125,0,0,0,0.0125,0.475,0,0.0375,0,0.025,0.05,0,0,0,0,0.175,0,0,0,0,0,0.025,0,0.0125,0.125,0,0,0,0.125,0,0.0125,0,0,0,0
5.425,0,421.18,231.38,101.35,120.3,0.6875,3.5625,765.59,0.5875,6.35,1.125,1.45,0.5,0.525,0,0.1,1.8375,2.4875,2.7125,15.963,16.9,0.375,10.05,57.938,15.037,20.413,52.875,21.075,13.412,3.1,24.875,3.9875,20.85,27,21.637,83.138,23.988,231.7,7.05,166.4,66.1,1.3,47.825,277.3,115.56,41.775,54.763,1.75,2.975,4.8125,15.787,0.8,1.6875,3.55,0.35,0.0125,0.5,6.1125,2.9875,2.9375,0.8625,0.1,0.3125,0.1625,3.85,0.05,3.1625,1.1,0.175,0.7625,0.375,4.0375,1.575,6.7125,9.8625,0.6125,7.425,12.787,9.6875,4.0125,8.0375,0.1125,0.0125,0.3,0.6625
0,421.18,0,228.59,69.825,3.0625,0.0375,51.763,47.75,0,0.8125,11.125,1.8125,0.6375,0.025,0,5.75,0.225,0.5625,3.6625,27.025,0.075,0.0125,0.425,2.2,1.7,3.45,0.6625,73.05,0.4125,60.462,3.625,0.3625,7.6375,33.688,69.188,69.737,0.2125,34.725,4.975,93.075,13.175,7.525,145.94,229.65,5.3875,6.7625,24.087,22.312,0.1125,1.675,8.6,0.0125,2.9875,3.45,0,0,0,0.2625,0.1375,0.675,0.0625,2.2,0.0125,27.038,0.2,0.0125,2.4625,1.4375,1.25,1.05,0,2.75,1.7875,5.4375,1.775,4.625,14.3,25.5,0.8,0.7375,1.4875,2.3875,0,0.0625,0.9375
0.3875,231.38,228.59,0,268.59,18.025,55.487,64.275,172.78,0.0625,1.225,2.0625,2.125,1.575,0.325,0.075,0.85,0.675,6.025,5.3,24.488,21.525,0.725,33.062,191.81,42.337,15.363,170.93,136.96,101.83,89.25,89.875,2.7375,12.137,57.95,47.837,145.75,49.888,265.71,8.3125,205.11,53.9,6.3875,147.34,341.14,204.05,146.04,126.76,17.212,26.575,23.075,837.64,0.7125,1.25,4.7875,0.175,0.0125,0.3375,6.4625,2.5,2.5625,1.0375,0.1,0.1,1.1875,3,0.0125,2.8375,1.45,0.55,1.0875,0.25,3.7375,1.3,11.2,7.675,0.9125,11.363,13.688,7.9625,3.35,5.025,0.3625,0.075,0.1875,0.5125
0.0625,101.35,69.825,268.59,0,3.575,21.275,6.8,303.46,0.025,0.25,1.1625,2.6375,12.725,0.4375,0.5,1.8625,1.825,0.2125,0.0375,0.8875,3.2125,0.05,3.25,10.25,6.325,2.8375,8.7625,0.55,3.9625,5.8125,2.4625,0.475,2.4625,0.65,0.35,1,3.3625,49.862,0.55,34.087,8.65,0.0125,1.5875,13.5,23.675,4.2375,7.1,0.125,2.8125,0.2,1.75,0.3125,0.0375,0.1625,0.0375,0,0.15,1.2375,0.5625,0.65,0.1,0.2875,0.1125,0.1375,0.45,0.025,0.65,0.0375,0,0.05,0.0625,0.675,0.2,0.8,1.825,0.0125,0.2625,0.5375,1.7625,0.7625,1.575,0,0.0125,0.05,0.7
0.125,120.3,3.0625,18.025,3.575,0,44.663,0.25,73.862,0.05,1.2,0.025,0.35,0.25,1.4875,0.075,0.075,0.25,0.25,1.05,0.175,8.2125,129.85,175.47,11.65,60,38.95,19.238,0.1875,62.112,4.525,13.775,193.39,0.0375,0.1,0.0125,0.05,17.625,0.2375,1.025,0.025,21.113,0.75,0.8375,3.95,15.525,9.975,5.3,0.2125,30.2,0.0875,5.975,0.025,0,0.1,1.5375,0.025,0.525,1.2875,0.2,1.3625,1.225,0.025,1.2375,0.1125,0.175,0.125,0.0375,0.0125,0,0,1.0375,0.1875,0.05,0.1,3.4625,0.0375,0.0625,0.1125,3.6125,0.45,0.375,0,0,0.0125,0.225
0,0.6875,0.0375,55.487,21.275,44.663,0,0.2,42.038,0,0,0,0.1875,0.2125,0,0,0.025,0.1,0,0,0.0375,0.15,36.05,22.325,0.0875,6.8,0.15,0.425,0.075,2.275,9.15,1.4375,3.6625,0.0125,0,0,0.0125,0.575,0,0.0125,0,0.225,0.025,0.075,0.025,0.2,5.6125,0.0375,0.0375,67.638,0,13.812,0,0,0,0,0,0.0125,0,0.025,0.025,0.0125,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0.0375,0,0,0,0.0375,0,0.0125,0,0,0,0.0125
0,3.5625,51.763,64.275,6.8,0.25,0.2,0,15.55,0,0.1375,6.8375,1.6,1.1375,0.025,0.0125,12.025,0.4875,0.0125,12.738,0.0125,0.05,0,0.05,0.0125,0.2125,1.3125,0.075,17.337,0.2875,69.2,0.0875,0.0875,0.1875,0.0125,0.0875,0.0125,0.15,0.025,5.1625,0.05,5.45,43.65,0.5125,4.1125,0.3,0.05,0.025,0.475,0.05,0,9.2125,0,1.25,0.0375,0,0,0.0125,0.025,0.0125,0.25,0.0125,1.3625,0.05,7.875,0,0.05,0.1625,0.025,0.15,0.075,0,0.0625,0.3,0.0125,0.725,5.325,1.125,2.6625,0.025,0.0375,0.0375,0.675,0.025,0.025,1.075
194.26,765.59,47.75,172.78,303.46,73.862,42.038,15.55,0,100.17,1.6125,0.5375,2.125,3.6875,0.45,0.25,1.6625,29.1,0.575,0.275,2.325,10.637,0.2625,10.762,24.387,17.3,6.2625,39.812,0.425,21.812,15.05,27.725,1.575,3.9125,1.25,0.2625,1.2125,23.163,32.85,0.9875,36.425,22.525,0.5875,2.5125,37.7,43.85,29.738,7,0.1,7.6625,0.45,3.1375,0.175,0.0875,0.3625,0.075,0.0625,0.1875,2.5875,0.9375,0.8875,0.5,0.1,0.125,0.3375,0.725,0.1,0.2875,0.0375,0.025,0,0.0875,0.575,0.225,1.2625,2.7875,0.125,0.475,0.9125,2.75,0.75,1.275,0.0375,0,0.075,0.8375
1193,0.5875,0,0.0625,0.025,0.05,0,0,100.17,0,3.475,0.1625,0.6375,0.1,0.1,0,0,212.97,0,0,0,0.0125,0.1,0.025,0.0125,0.025,0.0125,0.05,0,0,0,0.0125,0.0875,0,0,0,0,0.025,0.025,0,0,0.075,0,0,0,0.0375,0.025,0.025,0,0,0.025,0,0,0,0,0.1375,0.875,2.1125,0.5125,0.2625,0.425,0.575,0,1.225,0,0.0125,0.4,0.0125,0,0.0125,0,0.0625,0.225,0.025,0.025,0.9125,0,0,0.025,1.225,0.075,0.075,0,0,0.0125,0.0375
